app,duration_in_minutes,joules
Meet,10.0,3651.5807999999997
Meet,10.0,3465.9072
Meet,10.0,3636.1079999999997
Meet,10.0,3465.9072
Meet,10.0,3465.9072
Zoom,7.0,2858.9184
Zoom,7.0,2874.4559999999997
Zoom,7.0,2889.9936000000002
Zoom,7.0,2889.9936000000002
Zoom,7.0,2827.8432
Meet,5.0,1834.0992
Meet,5.0,1928.9663999999998
Meet,5.0,1834.0992
Meet,5.0,1834.0992
Meet,5.0,1928.9663999999998
Meet,9.0,3289.392
Meet,9.0,3273.876
Meet,9.0,3134.232
Meet,9.0,3273.876
Meet,9.0,3134.232
Zoom,3.0,1240.416
Zoom,3.0,1252.82016
Zoom,3.0,1243.5170400000002
Zoom,3.0,1241.9665199999997
Zoom,3.0,1243.5170400000002
Zoom,3.0,1245.06756
Zoom,3.0,1245.06756
Zoom,3.0,1226.46132
Zoom,3.0,1248.1686
Zoom,3.0,1234.21392
Meet,7.0,2482.3584
Meet,7.0,2624.6592
Meet,7.0,2498.1696
Meet,7.0,2545.6032
Meet,7.0,2672.0928
Zoom,5.0,2049.0624000000003
Zoom,5.0,2033.5392000000002
Zoom,5.0,2033.5392000000002
Zoom,5.0,2049.0624000000003
Zoom,5.0,2033.5392000000002
Zoom,5.0,2049.0624000000003
Zoom,5.0,2033.5392000000002
Zoom,5.0,2002.4927999999998
Zoom,5.0,2033.5392000000002
Zoom,5.0,2049.0624000000003
Zoom,10.0,3894.5159999999996
Zoom,10.0,3878.9999999999995
Zoom,10.0,3878.9999999999995
Zoom,10.0,3863.4840000000004
Zoom,10.0,3863.4840000000004
Meet,3.0,1044.5652
Meet,3.0,1043.0154
Meet,3.0,1047.6648
Meet,3.0,1050.7644
Meet,3.0,1060.0632
Zoom,9.0,3640.0104
Zoom,9.0,3251.1204000000002
Zoom,9.0,3577.788
Zoom,9.0,3593.3436
Zoom,9.0,3671.1216000000004
