Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,180.519,180.519,screen dark,0.07666641930000001
0,18.736,18.736,wifi running,0.007957179200000001
18.736,53.851,35.114999999999995,wifi radio,0.014913340499999999
53.851,63.804,9.953000000000003,wifi running,0.0042270391000000015
63.804,91.398,27.593999999999994,wifi radio,0.011719171799999999
91.398,107.05199999999999,15.653999999999996,wifi running,0.006648253799999999
107.05199999999999,140.891,33.839,wifi radio,0.0143714233
140.891,148.348,7.457000000000022,wifi running,0.0031669879000000094
148.348,153.906,5.557999999999993,wifi running,0.002360482599999997
153.906,169.903,15.996999999999986,wifi radio,0.006793925899999994
169.903,175.094,5.1910000000000025,wifi running,0.002204617700000001
175.094,180.519,5.425000000000011,wifi radio,0.002303997500000005

